epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.7348,0.85722,1.26425,1.14428,0.996,0.97512,0.99425,0.79467,0.73587,0.81991,0.98157,0.000662857,0.000662857,0.000662857
2,197.121,0.87135,0.8744,1.13613,0.9912,0.9801,0.99465,0.83238,0.6232,0.69296,0.93408,0.0013032,0.0013032,0.0013032
3,294.606,0.90212,0.86171,1.14429,0.98995,0.98022,0.99447,0.80447,0.76355,0.72228,1.00701,0.00191714,0.00191714,0.00191714
4,392.196,0.86041,0.78452,1.12342,0.98029,0.98985,0.99435,0.83565,0.63812,0.65587,0.95534,0.0018812,0.0018812,0.0018812
5,488.491,0.81315,0.72032,1.1053,0.99909,0.99502,0.995,0.8597,0.57597,0.56659,0.9028,0.0018416,0.0018416,0.0018416
6,584.998,0.81429,0.67811,1.08966,0.995,0.98977,0.99495,0.84343,0.63412,0.51853,0.92124,0.001802,0.001802,0.001802
7,681.199,0.78263,0.66367,1.08864,0.97965,0.99005,0.99465,0.82455,0.66396,0.4922,0.94158,0.0017624,0.0017624,0.0017624
8,777.364,0.74498,0.6309,1.08293,0.99284,0.99005,0.9948,0.85798,0.54547,0.41545,0.8998,0.0017228,0.0017228,0.0017228
9,873.801,0.73523,0.59721,1.06137,0.99465,0.99005,0.99495,0.87497,0.50862,0.42295,0.885,0.0016832,0.0016832,0.0016832
10,971.043,0.69719,0.57583,1.05612,0.99467,0.99502,0.995,0.86493,0.54681,0.39541,0.90388,0.0016436,0.0016436,0.0016436
11,1067.35,0.68753,0.54517,1.05145,0.99374,0.99502,0.995,0.8684,0.52886,0.39422,0.88659,0.001604,0.001604,0.001604
12,1163.34,0.66584,0.53477,1.03531,0.99967,0.99502,0.995,0.86873,0.51412,0.38077,0.88287,0.0015644,0.0015644,0.0015644
13,1259.17,0.654,0.5264,1.04576,0.99757,0.99502,0.995,0.86966,0.52655,0.40514,0.88131,0.0015248,0.0015248,0.0015248
14,1353.78,0.67379,0.50838,1.03854,1,0.99425,0.995,0.87533,0.47857,0.36027,0.8685,0.0014852,0.0014852,0.0014852
